"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"1_Healthy_Lung_World_code.nlogo"
"experiment01"
"01/16/2025 17:28:54:815 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","1","1","1","2","2","2","3","3","3","4","4","4","5","5","5","6","6","6","7","7","7","8","8","8","9","9","9","10","10","10"
"[reporter]","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen"
"[final]","636","4748404","75.071071463582","564","4193947","75.01225370061759","698","5229652","75.01225370061759","639","4717930","75.00245074012352","763","5705062","75.00245074012352","636","4719094","75.04166258209979","685","5126080","75.01225370061759","540","3975859","75.00245074012352","660","4927144","75.01225370061759","359","2562451","75.04166258209979"
"[min]","0","4597","45.064209391236155","0","4597","45.064209391236155","0","4597","45.064209391236155","0","4597","45.064209391236155","0","4597","45.064209391236155","0","4597","45.064209391236155","0","4597","45.064209391236155","0","4597","45.064209391236155","0","4597","45.064209391236155","0","4597","45.064209391236155"
"[max]","636","4748404","75.071071463582","564","4193947","75.01225370061759","698","5229652","75.01225370061759","639","4717930","75.00245074012352","763","5705062","75.00245074012352","636","4719094","75.04166258209979","685","5126080","75.01225370061759","540","3975859","75.00245074012352","660","4927144","75.01225370061759","359","2562451","75.04166258209979"
"[mean]","318","2297901.9717425434","68.86281195382551","282","2034720.4053097344","68.75867627067625","349","2544832.948497854","67.77783714716172","319.5","2261534.715625","68.07362636016086","381.5","2760320.252617801","65.9200591667686","318","2288731.95133438","68.6687841266523","342.5","2505684.8819241985","67.85636405051466","270","1928328.5009242145","67.82583201494694","330","2396213.8880484113","69.2634773280957","179.5","1234509.6833333333","67.57142545937765"
"[total steps]","636","636","636","564","564","564","698","698","698","639","639","639","763","763","763","636","636","636","685","685","685","540","540","540","660","660","660","359","359","359"

"[all run data]","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen"
,"0","4597","45.064209391236155","0","4597","45.064209391236155","0","4597","45.064209391236155","0","4597","45.064209391236155","0","4597","45.064209391236155","0","4597","45.064209391236155","0","4597","45.064209391236155","0","4597","45.064209391236155","0","4597","45.064209391236155","0","4597","45.064209391236155"
