pxcor,pycor,pcolor,plabel,plabel-color,total_patch_collagen,immediate_patch_collagen,old_collagen,new_myo_collagen,myo_multiplier,new_fibro_collagen,fibro_multiplier,patch_tgfbeta,patch_alveoli,mmp-concentration
-50,50,117,"""""",9.9,1,0,1,0,0,0,0,2.1561117193708283E-11,0,4.998481958131037E-6
-49,50,117,"""""",9.9,1,0,1,0,0,0,0,1.9005249350376963E-10,0,6.309279099980986E-6
-48,50,117,"""""",9.9,1,0,1,0,0,0,0,9.36221867995306E-10,0,6.823226042082809E-6
-47,50,117,"""""",9.9,1,0,1,0,0,0,0,3.1593326389433072E-9,0,6.3801375398947235E-6
-46,50,117,"""""",9.9,1,0,1,0,0,0,0,1.9949188522397104E-8,0,5.71344220866415E-6
-45,50,117,"""""",9.9,1,0,1,0,0,0,0,1.8538900360280614E-6,0,1.0201862738727255E-5
-44,50,117,"""""",9.9,1,0,1,0,0,0,0,2.03071686174813E-4,0,5.729135014788901E-5
-43,50,117,"""""",9.9,1,0,1,0,0,0,0,0.014965280102429573,0,3.760769453523915E-4
-42,50,117,"""""",9.9,1,0,1,0,0,0,0,0.8446505866765014,0,0.002131873
-41,50,117,"""""",9.9,1,0,1,0,0,0,0,1.688500858311835,0,0.010278535633351923
-40,50,117,"""""",9.9,1,0,1,0,0,0,0,2.5037469495506435,0,0.042217313
-39,50,117,"""""",9.9,1,0,1,0,0,0,0,1.7181046567599192,0,0.15713828950928463
-38,50,117,"""""",9.9,1,0,1,0,0,0,0,2.5331486435340294,0,0.4864213391926318
-37,50,117,"""""",9.9,1,0,1,0,0,0,0,87.78193483218506,0,1.901565806523993
-36,50,117,"""""",9.9,1,0,1,0,0,0,0,89.39678426201222,0,0.48642133
-35,50,117,"""""",9.9,1,0,1,0,0,0,0,87.76697141,0,0.15713826618384902
-34,50,117,"""""",9.9,1,0,1,0,0,0,0,1.6884981171299516,0,0.042217258
-33,50,117,"""""",9.9,1,0,1,0,0,0,0,0.029608403,0,0.010278402394160563
-32,50,117,"""""",9.9,1,0,1,0,0,0,0,5.270220525327142E-4,0,0.002131682
-31,50,117,"""""",9.9,1,0,1,0,0,0,0,0.014970767883962809,0,3.7702368101574855E-4
-30,50,117,"""""",9.9,1,0,1,0,0,0,0,0.8449745192756705,0,6.898760814590182E-5
-29,50,117,"""""",9.9,1,0,1,0,0,0,0,1.718104653856726,0,8.523289063016189E-5
-28,50,117,"""""",9.9,1,0,1,0,0,0,0,4.191921084517936,0,3.582829743884612E-4
-27,50,117,"""""",9.9,1,0,1,0,0,0,0,89.45546772758972,0,0.00127717
-26,50,117,"""""",9.9,1,0,1,0,0,0,0,90.24123207121724,0,0.003246933
-25,50,117,"""""",9.9,1,0,1,0,0,0,0,87.78193575685296,0,0.006226757
-24,50,117,"""""",9.9,1,0,1,0,0,0,0,1.6887029864966003,0,0.009052494
-23,50,117,"""""",9.9,1,0,1,0,0,0,0,0.029611157,0,0.010278386210201593
-22,50,117,"""""",9.9,1,0,1,0,0,0,0,3.270827332809107E-4,0,0.009052525
-21,50,117,"""""",9.9,1,0,1,0,0,0,0,5.507906375873244E-6,0,0.006227118
-20,50,117,"""""",9.9,1,0,1,0,0,0,0,1.8588699280739513E-6,0,0.003250302
-19,50,117,"""""",9.9,1,0,1,0,0,0,0,9.250074757476959E-7,0,0.001302706
-18,50,117,"""""",9.9,1,0,1,0,0,0,0,3.319084340391759E-7,0,5.16110781061116E-4
-17,50,117,"""""",9.9,1,0,1,0,0,0,0,3.183532396516278E-6,0,8.806232953702861E-4
-16,50,117,"""""",9.9,1,0,1,0,0,0,0,3.8395246103672785E-4,0,0.003281384
-15,50,117,"""""",9.9,1,0,1,0,0,0,0,0.034565796904691276,0,0.010655473764631988
-14,50,117,"""""",9.9,1,0,1,0,0,0,0,2.5034439256827845,0,0.023106378229097748
-13,50,117,"""""",9.9,1,0,1,0,0,0,0,89.39666337142077,0,0.036999967
-12,50,117,"""""",9.9,1,0,1,0,0,0,0,4263.924153263396,0,0.042580717750146144
-11,50,117,"""""",9.9,1,0,1,0,0,0,0,89.39690525058157,0,0.037006199
-10,50,117,"""""",9.9,1,0,1,0,0,0,0,2.5038071105288773,0,0.023157190278414348
-9,50,117,"""""",9.9,1,0,1,0,0,0,0,0.034889644095453975,0,0.010996375985841413
-8,50,117,"""""",9.9,1,0,1,0,0,0,0,5.872215758018273E-4,0,0.005195649
-7,50,117,"""""",9.9,1,0,1,0,0,0,0,8.539364462388941E-5,0,0.009916847
-6,50,117,"""""",9.9,1,0,1,0,0,0,0,2.100567843471248E-5,0,0.037161089
