pxcor,pycor,pcolor,plabel,plabel-color,total_patch_collagen,immediate_patch_collagen,old_collagen,new_myo_collagen,myo_multiplier,new_fibro_collagen,fibro_multiplier,patch_tgfbeta,patch_alveoli,mmp-concentration
-50,50,117,"""""",9.9,1165,0,1153,0,1,0,0,332.4444113,0,0.270583947
-49,50,117,"""""",9.9,793,0,781,0,1,0,0,1559.956477,0,0.228455295
-48,50,117,"""""",9.9,1057,0,1045,0,1,0,0,335.5966377,0,0.152111868
-47,50,117,"""""",9.9,13,0,13,0,0,0,0,76.2762509,0,0.076839798
-46,50,117,"""""",9.9,1,0,1,0,0,0,0,10.2701431,0,0.038152482
-45,50,117,"""""",9.9,1,0,1,0,0,0,0,1.141577954,0,0.018700827
-44,50,117,"""""",9.9,1,0,1,0,0,0,0,0.101388701,0,0.009148232
-43,50,117,"""""",9.9,1,0,1,0,0,0,0,0.007638365,0,0.004475293
-42,50,117,"""""",9.9,1,0,1,0,0,0,0,5.07E-04,0,0.00219162
-41,50,117,"""""",9.9,1,0,1,0,0,0,0,4.82E-05,0,0.001075222
-40,50,117,"""""",9.9,1,0,1,0,0,0,0,2.72E-05,0,5.30E-04
-39,50,117,"""""",9.9,1,0,1,0,0,0,0,2.80E-05,0,2.64E-04
-38,50,117,"""""",9.9,1,0,1,0,0,0,0,2.58E-05,0,1.35E-04
-37,50,117,"""""",9.9,1,0,1,0,0,0,0,2.01E-05,0,7.69E-05
-36,50,117,"""""",9.9,1,0,1,0,0,0,0,1.32E-05,0,5.66E-05
-35,50,117,"""""",9.9,37,0,37,0,0,0,0,7.31E-06,0,6.35E-05
-34,50,117,"""""",9.9,154,0,154,0,0,0,0,5.09E-06,0,1.01E-04
-33,50,117,"""""",9.9,370,0,370,0,0,0,0,2.78E-05,0,1.87E-04
-32,50,117,"""""",9.9,379,0,379,0,0,0,0,2.55E-04,0,3.62E-04
-31,50,117,"""""",9.9,586,0,577,0,0,0,0,0.002065027,0,7.07E-04
-30,50,117,"""""",9.9,658,0,649,0,0,0,1,0.006672444,0,0.001374898
-29,50,117,"""""",9.9,604,0,595,0,0,0,1,0.022236069,0,0.002643615
-28,50,117,"""""",9.9,460,0,451,0,0,0,1,0.044319115,0,0.004995597
-27,50,117,"""""",9.9,343,0,343,0,0,0,0,0.075093464,0,0.009188399
-26,50,117,"""""",9.9,289,0,289,0,0,0,0,0.144898119,0,0.016179396
-25,50,117,"""""",9.9,163,0,163,0,0,0,0,0.681020033,0,0.026283934
-24,50,117,"""""",9.9,172,0,172,0,0,0,0,4.626357451,0,0.038158035
-23,50,117,"""""",9.9,181,0,181,0,0,0,0,27.12927882,0,0.048111567
-22,50,117,"""""",9.9,214,0,214,0,0,0,0,58.05668975,0,0.052095027
-21,50,117,"""""",9.9,205,0,205,0,0,0,0,125.72246,0,0.048111513
-20,50,117,"""""",9.9,5479,0,5443,0,0,0,0,394.4991577,0,0.038157913
-19,50,117,"""""",9.9,5377,0,5341,0,0,0,0,420.0329597,0,0.026283714
-18,50,117,"""""",9.9,5629,0,5593,0,0,0,0,355.0649108,0,0.016179028
-17,50,117,"""""",9.9,127,0,127,0,0,0,0,60.71152371,0,0.009187814
-16,50,117,"""""",9.9,103,0,103,0,0,0,0,8.851462659,0,0.004994695
-15,50,117,"""""",9.9,106,0,106,0,0,0,0,0.968569598,0,0.002642261
-14,50,117,"""""",9.9,112,0,112,0,0,0,0,0.189067601,0,0.00137291
-13,50,117,"""""",9.9,76,0,76,0,0,0,0,1.157041512,0,7.04E-04
-12,50,117,"""""",9.9,19,0,19,0,0,0,0,10.29900571,0,3.58E-04
-11,50,117,"""""",9.9,25,0,25,0,0,0,0,76.34203144,0,1.80E-04
-10,50,117,"""""",9.9,1201,0,1189,0,1,0,0,335.7149095,0,9.08E-05
-9,50,117,"""""",9.9,793,0,781,0,1,0,0,1560.146764,0,4.64E-05
-8,50,117,"""""",9.9,1273,0,1261,0,1,0,0,332.0401294,0,2.52E-05
-7,50,117,"""""",9.9,109,0,109,0,0,0,0,71.86215005,0,1.63E-05
-6,50,117,"""""",9.9,181,0,181,0,0,0,0,9.613582644,0,1.40E-05
-5,50,117,"""""",9.9,301,0,301,0,0,0,0,1.035044596,0,1.57E-05
-4,50,117,"""""",9.9,277,0,277,0,0,0,0,0.092351267,0,2.02E-05
-3,50,117,"""""",9.9,229,0,229,0,0,0,0,0.006904083,0,2.67E-05
-2,50,117,"""""",9.9,121,0,121,0,0,0,0,6.57E-04,0,3.46E-05
-1,50,117,"""""",9.9,85,0,85,0,0,0,0,0.002831166,0,4.33E-05
0,50,117,"""""",9.9,49,0,49,0,0,0,0,0.031521081,0,5.19E-05
1,50,117,"""""",9.9,49,0,49,0,0,0,0,0.270923144,0,5.95E-05
2,50,117,"""""",9.9,73,0,73,0,0,0,0,1.794491714,0,6.53E-05
3,50,117,"""""",9.9,73,0,73,0,0,0,0,4.723598085,0,6.88E-05
4,50,117,"""""",9.9,121,0,121,0,0,0,0,8.308066586,0,7.02E-05
5,50,117,"""""",9.9,109,0,109,0,0,0,0,9.576027268,0,7.02E-05
6,50,117,"""""",9.9,61,0,61,0,0,0,0,8.557153923,0,7.01E-05
7,50,117,"""""",9.9,1,0,1,0,0,0,0,5.14254929,0,7.21E-05
8,50,117,"""""",9.9,1,0,1,0,0,0,0,3.705132051,0,7.88E-05
9,50,117,"""""",9.9,1,0,1,0,0,0,0,5.151293491,0,9.33E-05
10,50,117,"""""",9.9,1,0,1,0,0,0,0,8.785362133,0,1.19E-04
11,50,117,"""""",9.9,1,0,1,0,0,0,0,10.22181803,0,1.58E-04
12,50,117,"""""",9.9,1,0,1,0,0,0,0,8.751273262,0,2.12E-04
13,50,117,"""""",9.9,1,0,1,0,0,0,0,4.863722975,0,2.82E-04
14,50,117,"""""",9.9,19,0,19,0,0,0,0,1.853372895,0,3.61E-04
15,50,117,"""""",9.9,88,0,88,0,0,0,0,0.283908772,0,4.42E-04
