[all run data],[step],count turtles,ticks,world_collagen,world_TGFbeta,[step],count turtles,ticks,world_collagen,world_TGFbeta,[step],count turtles,ticks,world_collagen,world_TGFbeta,[step],count turtles,ticks,world_collagen,world_TGFbeta,[step],count turtles,ticks,world_collagen,world_TGFbeta,[step],count turtles,ticks,world_collagen,world_TGFbeta,[step],count turtles,ticks,world_collagen,world_TGFbeta,[step],count turtles,ticks,world_collagen,world_TGFbeta,[step],count turtles,ticks,world_collagen,world_TGFbeta,[step],count turtles,ticks,world_collagen,world_TGFbeta,[step],count turtles,ticks,world_collagen,world_TGFbeta,[step],count turtles,ticks,world_collagen,world_TGFbeta,[step],count turtles,ticks,world_collagen,world_TGFbeta,[step],count turtles,ticks,world_collagen,world_TGFbeta,[step],count turtles,ticks,world_collagen,world_TGFbeta
,0,1,0,0,0,0,1,0,0,0,0,10,0,4311.883980536031,1.016211737516132,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,0,529.5462478999999,521.9586899999995,0,6,0,532.8752918460073,507.53170355009973,0,8,0,539.2267070651652,472.59653181699855,0,10,0,541.6593716715784,467.2201286,0,10,0,543.2955231323302,459.9798101399988,0,17,0,2827.9852056317854,352.2989729069974,0,15,0,565.4079307803094,422.7613186204723,0,17,0,612.3750984940134,334.00518433615304,0,15,0,565.9817312893873,432.32983884616254
,1,1,1,528,528,1,1,1,528,528,1,10,1,2521.956189336042,527.7,1,3,1,528.0001,527.9,1,3,1,528,528,1,3,1,528.0001,527.9,1,6,1,529.3551693,527.6999999999999,1,6,1,530.5146626269077,527.5999999999999,1,8,1,533.0377267617935,527.5,1,10,1,532.9167319,527.4999999999999,1,10,1,530.7669898764303,527.5,1,17,1,2665.771143327563,527.1999999999999,1,15,1,548.9365051486153,527.4,1,17,1,558.3190519,527,1,15,1,543.9483641237993,527.4
,2,1,2,528,528,2,1,2,528,528,2,10,2,2522.4837731243047,527.4,2,3,2,528.0002999999999,527.8,2,3,2,528,528,2,3,2,528.0002,527.9,2,6,2,529.3618106399999,527.4,2,6,2,530.5359309233576,527.1999999999999,2,8,2,533.0941302299763,527,2,10,2,532.9785117599439,526.9999999999999,2,10,2,530.8360100662902,527,2,17,2,2666.475428142916,526.3999999999999,2,15,2,549.0488851399947,526.9,2,17,2,558.5705401719551,525.9099999999999,2,15,2,544.0658025814032,526.6999999999998
,3,1,3,528,528,3,1,3,528,528,3,10,3,2523.011656912568,527.0999999999999,3,3,3,528.0006000000001,527.7,3,3,3,528,528,3,3,3,528.0002999999999,527.9,3,6,3,529.3687519499999,527.0999999999998,3,6,3,530.5575992198075,526.7999999999998,3,8,3,533.1510136981591,526.5199999999999,3,10,3,533.0406916313914,526.5999999999998,3,10,3,530.9055302561497,526.4999999999998,3,17,3,2667.1804929582718,525.6199999999999,3,15,3,549.1618651313737,526.2999999999998,3,17,3,558.8229984558016,524.9399999999998,3,15,3,544.1838410390069,526.0999999999998
,4,1,4,528,528,4,1,4,528,528,4,10,4,2523.539840700831,526.7999999999998,4,3,4,528.001,527.6,4,3,4,528,528,4,3,4,528.0004999999999,527.8,4,6,4,529.3758932599999,526.8999999999999,4,6,4,530.5796675162575,526.3999999999997,4,8,4,533.2084971663422,525.9199999999997,4,10,4,533.1032715028396,526.1999999999998,4,10,4,530.9755504460102,525.9999999999999,4,17,4,2667.8863377736275,524.8399999999998,4,15,4,549.2753151227533,525.8299999999999,4,17,4,559.0765067396474,523.8899999999998,4,15,4,544.3024794966103,525.4999999999999
,5,1,5,528,528,5,1,5,528,528,5,10,5,2524.0682244890904,526.5999999999998,5,3,5,528.0015,527.5,5,3,5,528,528,5,3,5,528.0007999999999,527.6999999999999,5,6,5,529.3832245699998,526.7099999999999,5,6,5,530.6020958127074,526.04,5,8,5,533.2665806345253,525.3199999999997,5,10,5,533.1662313742877,525.8199999999998,5,10,5,531.0460706358704,525.4999999999999,5,17,5,2668.5929625889853,524.0599999999996,5,15,5,549.3893651141332,525.2299999999997,5,17,5,559.3310660234949,522.8389999999997,5,15,5,544.4216979542139,524.9199999999997
,6,1,6,528,528,6,1,6,528,528,6,10,6,2524.5968082773575,526.4,6,3,6,528.0021,527.3999999999999,6,3,6,528,528,6,3,6,528.0011900000001,527.61,6,6,6,529.3907559,526.51,6,6,6,530.6249141,525.65,6,8,6,533.3251541027083,524.8299999999998,6,10,6,533.2295812457345,525.4299999999998,6,10,6,531.1171708257305,524.9199999999997,6,17,6,2669.300347404341,523.2999999999998,6,15,6,549.5040861,524.5589999999997,6,17,6,559.5867053073423,521.7589999999998,6,15,6,544.5414864118177,524.3499999999997
,7,1,7,528,528,7,1,7,528,528,7,10,7,2525.125592065617,526.1999999999998,7,3,7,528.0028,527.3,7,3,7,528,528,7,3,7,528.00177,527.42,7,6,7,529.3984771899999,526.3199999999998,7,6,7,530.6480224,525.3599999999999,7,8,7,533.3842175708912,524.3399999999996,7,10,7,533.2933011171829,525.0599999999997,7,10,7,531.1887610155901,524.4299999999997,7,17,7,2670.008473219698,522.5589999999997,7,15,7,549.6194870968923,523.8789999999997,7,17,7,559.8434255911886,520.6779999999994,7,15,7,544.6618359,523.7889999999999
,8,1,8,528,528,8,1,8,528,528,8,10,8,2525.654575853879,525.9999999999998,8,3,8,528.0036,527.1999999999999,8,3,8,528,528,8,3,8,528.0025499999999,527.22,8,6,8,529.4063785,526.1399999999999,8,6,8,530.6714017,525.0889999999999,8,8,8,533.4438610390741,523.7599999999996,8,10,8,533.3575109886305,524.5699999999998,8,10,8,531.2609412054504,523.8399999999998,8,17,8,2670.7174410350526,521.7169999999998,8,15,8,549.7356480882715,523.1189999999997,8,17,8,560.1011168750363,519.7069999999994,8,15,8,544.7827463,523.2279999999998
,9,1,9,528,528,9,1,9,528,528,9,10,9,2526.1838496421424,525.7099999999998,9,3,9,528.0045,527.0999999999999,9,3,9,528,528,9,3,9,528.0035299999998,527.02,9,6,9,529.4144698099999,525.9499999999999,9,6,9,530.6950519985068,524.8179999999999,9,8,9,533.5039845072573,523.2799999999999,9,10,9,533.4222208600784,524.0699999999997,9,10,9,531.3336913953106,523.2699999999998,9,17,9,2671.4272256504123,520.9001999999997,9,15,9,549.8524990796514,522.4289999999996,9,17,9,560.3598510588826,518.6640999999995,9,15,9,544.9041278,522.7569999999997
